board_id,fe_id,channel,tac,tdc,a,b,c,chi2,d,dof
57,0,14,3,1,-2.7438578605651855,-147.8629608154297,320.4946594238281,1657.5264892578125,0.3928597867488861,220.0
57,0,15,0,0,-1.5447382926940918,-149.04881286621094,330.9830627441406,1382.51513671875,0.3928571343421936,220.0
57,0,15,0,1,-2.9335238933563232,-163.568359375,366.863525390625,1613.5640869140625,0.375,220.0
57,0,15,1,0,-1.8721656799316406,-147.77566528320313,320.4652099609375,1334.224365234375,0.3931806683540344,220.0
57,0,15,1,1,-3.2479522228240967,-162.18228149414063,363.9002990722656,1529.478759765625,0.37502703070640564,220.0
57,0,15,2,0,-1.4246340990066528,-149.05575561523438,319.00677490234375,1242.4068603515625,0.39352989196777344,220.0
57,0,15,2,1,-2.4080698490142822,-162.6377716064453,361.7409973144531,1321.885498046875,0.375,220.0
57,0,15,3,0,-1.5397781133651733,-148.9950714111328,319.7122802734375,1192.979736328125,0.3928571343421936,220.0
57,0,15,3,1,-3.6107876300811768,-160.63710021972656,362.356201171875,1249.4722900390625,0.3751167058944702,220.0
57,0,16,0,0,-3.703989267349243,-162.83277893066406,368.85693359375,1674.2733154296875,0.3928831219673157,220.0
57,0,16,0,1,-3.080005168914795,-154.59042358398438,345.89654541015625,1776.2403564453125,0.375,220.0
57,0,16,1,0,-3.4515538215637207,-163.6072540283203,360.8165283203125,1869.231689453125,0.3928571343421936,220.0
57,0,16,1,1,-2.8790411949157715,-154.62286376953125,341.3175048828125,1733.9078369140625,0.3928571343421936,220.0
57,0,16,2,0,-3.093858242034912,-163.11300659179688,357.800048828125,1729.251708984375,0.3928571343421936,220.0
57,0,16,2,1,-2.8548333644866943,-154.7076416015625,343.8753662109375,1663.11181640625,0.375,220.0
57,0,16,3,0,-3.2241647243499756,-162.93556213378906,358.4328308105469,1541.779541015625,0.3928588330745697,220.0
57,0,16,3,1,-2.9443233013153076,-154.3660430908203,343.60968017578125,1924.685302734375,0.37500497698783875,220.0
57,0,17,0,0,-2.271820306777954,-155.30905151367188,347.4023132324219,1715.8255615234375,0.393183171749115,220.0
57,0,17,0,1,-1.9137037992477417,-164.63975524902344,356.10040283203125,1799.7698974609375,0.375142902135849,220.0
57,0,17,1,0,-1.6529197692871094,-156.6602020263672,338.3463439941406,1754.331298828125,0.3928571343421936,220.0
57,0,17,1,1,-2.3506791591644287,-164.99131774902344,356.3262023925781,1934.0574951171875,0.37505558133125305,220.0
57,0,17,2,0,-2.248392105102539,-154.8855438232422,336.721923828125,1737.387939453125,0.39293524622917175,220.0
57,0,17,2,1,-0.30008751153945923,-166.65731811523438,354.45440673828125,1868.1607666015625,0.375,220.0
57,0,17,3,0,-1.5057731866836548,-156.7012481689453,338.3148193359375,1807.329833984375,0.3928571343421936,220.0
57,0,17,3,1,-1.63657808303833,-166.28109741210938,354.8621826171875,1725.5062255859375,0.375,220.0
57,0,18,0,0,-1.0434170961380005,-170.03536987304688,375.3678894042969,1616.5885009765625,0.3928571343421936,220.0
57,0,18,0,1,-5.007916450500488,-153.76950073242188,344.1000671386719,2409.5048828125,0.37500905990600586,220.0
57,0,18,1,0,-1.754908561706543,-168.41513061523438,366.0843505859375,1647.0855712890625,0.39302363991737366,220.0
57,0,18,1,1,-4.5804972648620605,-153.38876342773438,342.82275390625,2200.317626953125,0.3750256299972534,220.0
