board_id,fe_id,channel,bl_e,bl_t,dead_time,do_t1_delay,g_e,g_q,g_t,masked,meas_mode,qdc_max_intg_t,qdc_min_intg_t,thr_e,thr_e_bl,thr_t1,thr_t1_bl,thr_t2,thr_t2_bl,trig_b,trig_e,trig_q,trig_t
57,1,62,6,55,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,55,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,63,5,53,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,46,15,58,15,57,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,0,5,57,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,47,15,59,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,1,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,56,15,59,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,10,5,59,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,45,15,59,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,11,5,59,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,47,15,59,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,12,5,51,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,45,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,13,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,55,15,59,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,14,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",29,29,62,60,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,15,6,55,0,"3_ns",300,"3_65",3000,0,"qdc",29,29,62,56,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,16,6,55,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,58,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,17,5,57,0,"3_ns",300,"3_65",3000,0,"qdc",29,29,62,46,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,2,18,5,57,0,"3_ns",300,"3_65",3000,0,"qdc",29,29,62,46,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
